Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
Planegg;114651;LS75892;nein;18.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Bahnhofstr. 7;85221;Dachau;;;;
Planegg;114652;LS75893;ja;02.03.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Freisinger Str. 29;85386;Eching;;;;
Planegg;114653;LS75894;ja;02.03.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Dachauer Str. 63;85435;Erding;;;;
Planegg;114654;LS75895;ja;18.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Schleißheimer Str. 15b;85748;Garching;;;;
Planegg;114655;LS75896;ja;02.03.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Bahnhofstr. 7;85625;Glonn;;;;
Planegg;114656;LS75897;ja;04.03.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Hans-Pinsel-Str. 7;85540;Haar;;;;
Planegg;114657;LS75898;ja;02.03.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Münchener Str. 2;85635;Höhenkirchen-Siegertsbrunn;;;;
Planegg;114658;LS75899;ja;17.03.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Krenmoostr. 9;85757;Karlsfeld;;;;
Planegg;114659;LS75900;ja;04.03.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Flurstr. 38;85402;Kranzberg;;;;
Planegg;114660;LS75901;ja;04.03.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Wiegenfeldring 7;85570;Markt Schwaben;;;;
Planegg;114661;LS75902;ja;18.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Hauptstr. 47;85579;Neubiberg;;;;
Planegg;114662;LS75903;nein;18.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Rosenheimer Landstr. 145;85521;Ottobrunn - Riemerling;;;;
Planegg;114663;LS75904;ja;25.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Georg-Wimmer-Ring 1;85604;Zorneding;;;;
Planegg;114664;LS75905;ja;18.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Am Dörrenhof 9a;85131;Eichstätt - Pollenfeld;;;;
Planegg;114665;LS75906;ja;25.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Friedhofstr. 19;84501;Essenbach;;;;
Planegg;114666;LS75907;ja;23.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Porschestr. 2;85080;Gaimersheim;;;;
Planegg;114667;LS75908;ja;24.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Grabengasse 19;85290;Geisenfeld;;;;
Planegg;114668;LS75909;ja;23.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Siemensstr. 4;85055;Ingolstadt;;;;
Planegg;114669;LS75910;ja;04.03.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Bahnhofstr. 1;85110;Kipfenberg;;;;
Planegg;114670;LS75911;ja;23.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Gutenbergstr. 5;84048;Mainburg;;;;
Planegg;114671;LS75912;ja;24.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Weberstr. 6;85077;Manching;;;;
Planegg;114672;LS75913;ja;26.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Bahnhofstr. 12;85368;Moosburg;;;;
Planegg;114673;LS75914;ja;25.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Lindharter Weg 25;84066;Mallersdorf-Pfaffenberg;;;;
Planegg;114674;LS75915;ja;25.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Elsbethenring 16;84076;Pfeffenhausen;;;;
Planegg;114675;LS75916;ja;24.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Weckerstr. 18;85084;Reichertshofen;;;;
Planegg;114676;LS75917;ja;25.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Industriestr.13;84056;Rottenburg;;;;
Planegg;114677;LS75918;ja;24.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Gewerbestr. 5;85088;Vohburg;;;;
Planegg;114678;LS75919;ja;26.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Am Kleinfeld 8;85456;Wartenberg;;;;
Planegg;114679;LS75920;ja;23.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Am Brunnen 9a;85283;Wolnzach;;;;
Planegg;114680;LS75921;ja;20.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Martin-Moser-Str. 17;84503;Altötting;;;;
Planegg;114681;LS75922;ja;20.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Terminalstr. 14;84489;Burghausen;;;;
Planegg;114682;LS75923;ja;20.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Fuhrmannstr.12;84508;Burgkirchen;;;;
Planegg;114683;LS75924;ja;26.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Römerstr. 8;84130;Dingolfing;;;;
Planegg;114684;LS75925;ja;20.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Gewerbegebiet Orlfing - Alte Ziegelei 1;84405;Dorfen;;;;
Planegg;114685;LS75926;ja;25.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Eichthalstr. 10;85560;Ebersberg;;;;
Planegg;114686;LS75927;ja;24.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Gewebegebiet Mitterhof 59;84307;Eggenfelden;;;;
Planegg;114687;LS75928;nein;18.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Boschstr. 21;84144;Geisenhausen;;;;
Planegg;114688;LS75929;ja;25.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Bahnhofstr. 32;85567;Grafing;;;;
Planegg;114689;LS75930;ja;24.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Schellberg West 7;84347;Pfarrkirchen;;;;
Planegg;114690;LS75931;nein;18.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Sonnenfeld 1;84416;Taufkirchen, Vils;;;;
Planegg;114691;LS75932;ja;24.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Adolf-Kolping-Str.34;84359;Simbach am Inn;;;;
Planegg;114692;LS75933;nein;18.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Schwalbenholzstr. 8;84137;Vilsbiburg;;;;
Planegg;114693;LS75934;nein;18.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Am Stillbach 7;84176;Vilsheim;;;;
Planegg;114694;LS75935;nein;18.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Berliner Platz 3;84478;Waldkraiburg;;;;
Planegg;114695;LS75936;ja;26.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Boschstr. 13;84109;Wörth a.d. Isar;;;;
Planegg;114696;LS75937;ja;24.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Sportplatzstr. 6;84367;Zeilarn;;;;
Planegg;114697;LS75938;nein;18.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Hilger 1 A;84579;Unterneukirchen;;;;
Planegg;114698;LS75939;ja;25.02.2026;Logistik;26523;Deutsche Post Freising;Deutsche Post AG;Münchener Str. 12;85661;Forstinning;;;;
Gleisner;114699;LS75940;ja;16.03.2026;Petra Gräf;27086;Die Autobahn Nordbayern;Die Autobahn GmbH des Bundes - NL Nordbayern;Spitzwegstr. 45;95447;Bayreuth;;;;
Planegg;114647;LS75941;ja;18.02.2026;Max Sanktjohanser;21737;Heuser;Heuser GmbH;Waldstr. 23 / B10;63128;Dietzenbach;;;;
Kyffhäuser;;LS75942;ja;24.02.2026;Florian Gräf;20668;Gastro Service Center e.K;Swarco Traffic Systems GmbH;Gypsbergstr. 11;04356;Leipzig;;;;
AQUATRADE Bram;114701;LS75943;ja;20.02.2026;Estaline Philander;25342;Centra Koordinierendes Zentrum;Centra Koordinierendes Zentrum;Heidenkampsweg 97;20097;Hamburg;;;;
Planegg;;LS75944;ja;18.02.2026;Sönke Rocho;20602;Seoul of Saigon;Seoul of Saigon GmbH;Boschetsrieder Straße 51;81379;München;;;;
VST Schörling;114703;LS75945;ja;18.02.2026;Andreas Pöppe;27087;Franka Robotics;Franka Robotics GmbH;Koppstr. 12;81379;München;;;;
aboutwater Bünde;114704;LS75946;nein;31.03.2026;Petra Gräf;26853;AUGUST STORCK KG;AUGUST STORCK KG;Paulinenweg 12;33790;Halle (Westf.);;;;
Planegg;114705;LS75947;ja;18.02.2026;Florian Gräf;20575;R&F Mayer GmbH;R&F Mayer GmbH;Lorcher Str. 51;73547;Lorch-Waldhausen;;;;
AQUATRADE Bram;114707;LS75948;ja;26.02.2026;Florian Gräf;21204;MB Well Service;MB Well Services GmbH;Uttumer Str.;26736;Krummhörn;;;;
Kyffhäuser;114708;LS75949;ja;24.02.2026;Florian Gräf;20668;Gastro Service Center e.K;Fußball Akademie RB Leipzig;Cottaweg 7;04177;Leipzig;;;;
Planegg;114706;LS75950;ja;20.02.2026;Estaline Philander;25789;Odeon Fiction;Odeon Fiction GmbH;Hofmannstraße 25-27;81379;München;;;;
Emons;114709;LS75951;ja;19.02.2026;Florian Gräf;24138;TRUE Coffee di Fina;Werkstätten der Lebenshilfe Solingen gGmbH;Freiheitstr. 9-11;42719;Solingen;;;;
Planegg;114710;LS75952;ja;18.02.2026;Florian Gräf;25291;bePure;Fountaine Pajot La Rochelle;Port Neuf;17000;La Rochelle;;;;
Gänshirt-Aufmbruch;114714;LS75954;ja;27.02.2026;Estaline Philander;22198;Steinhoff Dinslaken;Steinhoff GmbH & Cie. OHG;Gerhard-Malina-Str. 65;46537;Dinslaken;;;;
Planegg;114713;LS75955;ja;19.02.2026;Estaline Philander;25317;Mynaric;Mynaric Lasercom GmbH;Bertha-Kipfmüller-Straße 2-8;81249;München;;;;
Planegg;114715;LS75956;ja;20.02.2026;Max Sanktjohanser;27267;Sandrock;Dr. Sandrock und Partner Fachärzte;Röderstraße 6;90518;Altdorf;;;;
Planegg;114716;LS75957;ja;19.02.2026;Rene Kühn;23547;Matthias Lorig;Matthias Lorig;In der Hiehl 11;54524;Klausen;;;;
Planegg;114717;LS75958;ja;19.02.2026;Rene Kühn;25702;Lohnpack GmbH;Lohnpack GmbH;Eberhardstraße 60;71679;Asperg;;;;
Planegg;114718;LS75959;ja;19.02.2026;Rene Kühn;27269;Irene Pundt-Gruber;Irene Pundt-Gruber;Filsstraße 27;71263;Weil der Stadt;;;;
Planegg;114719;LS75960;ja;19.02.2026;Rene Kühn;27270;Antonietta Morello;Antonietta Morello;via A. Manzoni 15, San Leo di Briat;89817;Briatico;;;;
aboutwater Frankfurt;114720;LS75961;ja;27.02.2026;Petra Gräf;27271;Flying Steps Entertainment;Flying Steps Entertainment GmbH;Mombacher Str. 78 - 80;55122;Mainz;;;;
Gänshirt-Aufmbruch;114721;LS75962;ja;04.03.2026;Petra Gräf;24242;IVPNetworks;IVPNetworks GmbH;Bavierstr. 1;40699;Erkrath;;;;
AQUATRADE Glinde;;LS75963;ja;17.02.2026;Mihaela Abmayr;24898;Anschütz;Anschütz GmbH;Zeyestr. 16-24;24106;Kiel;;;;
Planegg;114723;LS75964;ja;04.03.2026;Florian Gräf;20567;Bahro Wiedekopf;Kaffeemaschinenvertrieb und Service;Alt Prester 84;39114;Magdeburg;;;;
Planegg;114721;LS75965;ja;19.02.2026;Petra Gräf;24242;IVPNetworks;IVPNetworks GmbH;Conventstr. 8-10;22089;Hamburg;;;;
AQUATRADE Glinde;110539;LS75966;ja;17.02.2026;Mihaela Abmayr;26211;Max Bögl (1)  Osterrönfeld;Max Bögl Fertigteilwerke GmbH & Co. KG;Albert-Betz-Straße 2;24783;Osterrönfeld;;;;
Planegg;;LS75968;ja;19.02.2026;Florian Gräf;21065;Attila AS Cafe & BAR;AS Cafe & Bar Service e.K.;Aidenbachstr. 72;81379;München;;;;
AMW Auersperg;114726;LS75969;nein;01.03.2026;Petra Gräf;24441;JPT;JPT Peptide Technologies GmbH;Hermann-Dorner-Allee 23;12489;Berlin;;;;
STK Service;114728;LS75970;ja;11.03.2026;Estaline Philander;26238;CSS Europe;H&mv Baustelle (Kraftwerk);Siegenbeckstraße 10;59071;Hamm;;;;
Planegg;114729;LS75971;ja;20.02.2026;Max Sanktjohanser;27253;Flammkraft;Flammkraft GmbH;Richard-Dunkel Strasse 120;28199;Bremen;;;;
Planegg;110801;LS73905.;ja;17.02.2026;Rene Kühn;25616;Wittmann Entsorgungswirtschaft;Wittmann Entsorgungswirtschaft GmbH;Lochhamer Schlag 7;82166;Gräfelfing;;;;
Planegg;114731;LS75974;ja;20.02.2026;Max Sanktjohanser;24171;GGW Group GmbH;GGW Group GmbH;Börsenbrücke 6;20457;Hamburg;;;;
Planegg;114588;LS75975;ja;24.02.2026;Petra Gräf;27263;Energy2day;Energy2day;Seeholzenstr. 12;8166;Gräfelfing;;;;
Planegg;114732;LS75976;ja;19.02.2026;Max Sanktjohanser;21664;amazon Prag;Amazon Logistic Prague s.r.o;Kelcice 135;798 08;Vranovice-Kelcice-Kelcice;;;;
STK Service;114733;LS75977;ja;31.03.2026;Florian Gräf;20259;STK Service Seiling;STK Service GmbH&Co.KG;Werkstr. 12;59348;Lüdinghausen;;;;
aboutwater Frankfurt;114735;LS75978;ja;25.02.2026;Carmen Berger;26484;HCC 2;HCC - Hessisches Competence Center;Stolzenmorgen 36;35394;Gießen;;;;
aboutwater Frankfurt;114736;LS75979;ja;25.02.2026;Carmen Berger;26484;HCC 2;HCC - Hessisches Competence Center;Rödgener Straße 91;35394;Gießen;;;;
Planegg;114734;LS75980;ja;20.02.2026;Estaline Philander;21944;Die Hausärzte im Policenter;Die Hausärzte im Policenter;Oßwaldstr. 1;82319;Starnberg;;;;
aboutwater Frankfurt;114738;LS75981;ja;19.02.2026;Carmen Berger;26484;HCC 2;HCC - Hessisches Competence Center;Rödgener Straße 91;35394;Gießen;;;;
aboutwater Frankfurt;114737;LS75982;ja;20.02.2026;Petra Gräf;27273;Mietservice Süß;Mietservice Süß GmbH & Co. KG;Seilmacherstraße 2;66497;Contwig;;;;
Planegg;114737;LS75983;ja;24.02.2026;Petra Gräf;27273;Mietservice Süß;Mietservice Süß GmbH & Co. KG;Sauerzapfstraße 2a;92507;Nabburg;;;;
Planegg;114739;LS75984;ja;23.02.2026;Florian Gräf;20191;Gleisner;Gleisner GmbH & Co.KG;Pegnitzstr. 13;91207;Lauf an der Pegnitz;;;;
Planegg;114742;LS75987;ja;19.02.2026;Josefine Mättig;10044;Automatenservice Senf Gmb;Automatenservice Senf GmbH;Saalfelderstraße 38-40;07381;Pößneck;;;;
Planegg;114743;LS75989;ja;19.02.2026;Josefine Mättig;22124;LGL Haushaltwaren GmbH;LGL Haushaltswaren GmbH;Helferner Weg 14b;49214;Bad Rothenfelde;;;;
STK Service;;LS72844.;ja;01.02.2026;Mihaela Abmayr;26135;Stadt Marl (2) Jugendamt;KITA ´Abenteuerburg´;Nonnenbusch 93;45770;Marl;;;;
Planegg;114747;LS75991;ja;19.02.2026;Josefine Mättig;10102;Steinmeier GmbH;Arvato Supply Chain Solutions SE - Consumer P;Lösnitz Mark 21;06780;Großzöberitz-Heideloh;;;;
STK Service;114756;LS75992;ja;27.02.2026;Estaline Philander;23344;Falck Krankentransport;Feuerwache Gelsenkirchen 22;Im Emscherbruch 30;45892;Gelsenkirchen;;;;
Planegg;114610;LS75993;ja;09.03.2026;Max Sanktjohanser;25226;Wirtschaftskammer Österreich;Wirtschaftskammer Österreich;Schaumburgergasse 22;1045;Wien;;;;
POSPRINT;114610;LS75994;ja;20.03.2026;Max Sanktjohanser;25226;Wirtschaftskammer Österreich;Wirtschaftskammer Österreich;Schaumburgergasse 22;1045;Wien;;;;
STK Service;114759;LS75995;ja;27.02.2026;Estaline Philander;23344;Falck Krankentransport;Rettungswache Gelsenkirchen;Freiligrathstr. 30 - 38;45881;Gelsenkirchen;;;;
Gänshirt-Aufmbruch;114740;LS75996;ja;06.03.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Hauptfeuer und Rettungswache;August-Bebel-Straße 55;42109;Wuppertal;;;;
Schöttle - Haiterbach;114760;LS75997;ja;06.03.2026;Andreas Pöppe;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemberg;Bismarckstr. 94;72072;Tübingen;;;;
Gänshirt-Aufmbruch;114744;LS75998;ja;06.03.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Hauptfeuer und Rettungswache;August-Bebel-Straße 55;42109;Wuppertal;;;;
Gänshirt-Aufmbruch;114745;LS75999;ja;18.03.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Rettungsdienstakademie;Vogelsangstraße 106;42109;Wuppertal;;;;
Gänshirt-Aufmbruch;114746;LS76000;ja;18.03.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Feuer- und Rettungswache 2;Waldeckstraße 14;42289;Wuppertal;;;;
Gänshirt-Aufmbruch;114748;LS76001;nein;19.02.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Feuerwache 3;Friedrich-Ebert-Str. 253;42117;Wuppertal;;;;
Gänshirt-Aufmbruch;114749;LS76002;ja;06.03.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Rettungswache 5 u. Löschzug 25;Theishahner Str. 35;42349;Wuppertal;;;;
Gänshirt-Aufmbruch;114750;LS76003;ja;06.03.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Rettungswache 5 u. Löschzug 25;Theishahner Str. 35;42349;Wuppertal;;;;
Gänshirt-Aufmbruch;114751;LS76004;ja;06.03.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Rettungswache 6;Buchenhofener Str. 6;42329;Wuppertal;;;;
Gänshirt-Aufmbruch;114752;LS76005;ja;18.03.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Rettungswache 7;Flanhard 20;42281;Wuppertal;;;;
Gänshirt-Aufmbruch;114753;LS76006;ja;18.03.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Rettungswache 8;Hesselnberg 81;42285;Wuppertal;;;;
Gänshirt-Aufmbruch;114755;LS76007;ja;06.03.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Rettungswache 9;Otto-Hahn-Str. 22;42369;Wuppertal;;;;
Gänshirt-Aufmbruch;114757;LS76008;ja;06.03.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Rettungswache 9;Otto-Hahn-Str. 22;42369;Wuppertal;;;;
Gänshirt-Aufmbruch;114758;LS76009;ja;06.03.2026;Petra Gräf;27274;Feuerwehr Wuppertal;Rettungswache 10;Kemmannstraße 59;42349;Wuppertal;;;;
aboutwater Bünde;;LS76010;ja;03.03.2026;Petra Gräf;26853;AUGUST STORCK KG;AUGUST STORCK KG;Paulinenweg 12;33790;Halle (Westf.);;;;
aboutwater Frankfurt;;LS76011;ja;20.02.2026;Carmen Berger;25048;HCC (1) Hessische Zentrale;Hessische Zentrale für Datenverarbeitung;Auguste-Viktoria-Str. 18;65185;Wiesbaden;;;;
Planegg;114762;LS76012;ja;19.02.2026;Josefine Mättig;26977;Trinkflaschenexpress;Ev. Krh. Königin Elisabeth;Herzbergstr. 79;10365;Berlin;;;;
AQUATRADE Glinde;114761;LS76013;ja;10.03.2026;Estaline Philander;23577;Dataport 1;Dataport - Anstalt des öffentl. Rechts;Altenholzer Straße 10-14;24161;Altenholz;;;;
Emons;114763;LS76014;ja;25.02.2026;Florian Gräf;20708;Kyffhäuser Waterworld;Kyffhäuser Waterworld;Brauereistraße 4;06556;Artern;;;;
AQUATRADE Bram;114766;LS76015;ja;25.02.2026;Estaline Philander;22890;Kita Bremen;KiTa Bremen Eigenbetrieb der Stadt Bremen;Auf der Muggenburg 5;28217;Bremen;;;;
Planegg;114768;LS76016;ja;19.02.2026;Max Sanktjohanser;21938;Amazon Deutschland W8 Trans.;Amazon Deutschland W8 Transport GmbH;Procter-und-Gamble-Straße 18;53881;Euskirchen;;;;
Planegg;115214;LS76017;ja;19.02.2026;Florian Gräf;21747;natürlich H2O / Kwasniok;natürlich H2O / Hansequelle Berlin;Pausiner Str. 34;14621;Schönwalde-Glien;;;;
VST Schörling;114769;LS76018;ja;18.03.2026;Logistik;20255;rebike 1 GmbH;Rebike Mobility GmbH;Zeppelinstr. 3  / Einfahrt 6;87437;Kempten;;;;
VST Schörling;114770;LS76019;ja;16.03.2026;Logistik;20211;workingwell GmbH;workingwell GmbH;Karlstraße 44a [Rückgebäude];80333;München;;;;
Berlin Wein König;114771;LS76020;ja;01.04.2026;Logistik;20452;Luisenstift Berlin;Luisenstift Berlin;Königin-Luise-Straße 95;14195;Berlin;;;;
Berlin Wein König;114772;LS76021;ja;01.04.2026;Logistik;20452;Luisenstift Berlin;Luisenstift Berlin;Königin-Luise-Straße 95;14195;Berlin;;;;
Berlin Wein König;114773;LS76022;ja;01.04.2026;Logistik;20452;Luisenstift Berlin;Luisenstift Berlin;Lindenthaler Allee 15;14163;Berlin;;;;
VST Schörling;114774;LS76023;ja;23.03.2026;Logistik;20563;PPO GmbH;PPO GmbH;Bahnhofstr. 98;82166;Gräfelfing;;;;
VST Schörling;114775;LS76024;ja;23.03.2026;Logistik;20563;PPO GmbH;PPO GmbH;Bahnhofstr. 98  / 3.OG;82166;Gräfelfing;;;;
Planegg;114776;LS76025;ja;09.04.2026;Logistik;20435;Leibarztpraxis;Leibarztpraxis Dr. Leiber;Mendelsohnstr. 7;81245;München;;;;
VST Schörling;114777;LS76026;ja;20.02.2026;Logistik;20235;Vites GmbH;Vites GmbH;Einsteinstraße 32;85521;Ottobrunn;;;;
VST Schörling;114778;LS76027;ja;18.03.2026;Logistik;20255;rebike 1 GmbH;Rebike Mobility GmbH;Zeppelinstr. 3  / Einfahrt 6;87437;Kempten;;;;
VST Schörling;114779;LS76028;ja;23.03.2026;Logistik;20843;Protea Networks GmbH;Protea Networks GmbH;Grimmerweg 6;82008;Unterhaching;;;;
Planegg;114780;LS76029;nein;01.03.2026;Logistik;21318;Nottensteiner Hof;Nottensteiner Hof;Rothfeldstraße 5;85247;Schwabhausen;;;;
VST Schörling;114781;LS76030;ja;05.03.2026;Logistik;21423;Anritsu;Anritsu GmbH;Konrad-Zuse-Platz 1  / EG;81829;München;;;;
Magnum Kuhnhenne;114783;LS76032;nein;01.03.2026;Logistik;21537;Globus;Globus Limburg;Mundipharmastraße 1;65549;Limburg;;;;
Magnum Kuhnhenne;114784;LS76033;nein;01.03.2026;Logistik;21537;Globus;Globus Limburg;Mundipharmastraße 1;65549;Limburg;;;;
Magnum Kuhnhenne;114785;LS76034;nein;01.03.2026;Logistik;21537;Globus;Globus Limburg;Mundipharmastraße 1;65549;Limburg;;;;
Magnum Kuhnhenne;114786;LS76035;nein;01.03.2026;Logistik;21537;Globus;Globus Limburg;Mundipharmastraße 1;65549;Limburg;;;;
Schöttle - Haiterbach;114787;LS76036;ja;01.04.2026;Logistik;21612;Bless You Bartenbach;BLESS YOU. Apotheke Bartenbach;Lerchenberger Straße 26;73035;Göppingen;;;;
Schöttle - Haiterbach;114788;LS76037;ja;01.04.2026;Logistik;21613;Bless you GmbH;BLESS YOU. GmbH;Lerchenberger Straße 35;73035;Göppingen;;;;
Schöttle - Haiterbach;114789;LS76038;ja;01.03.2026;Logistik;21614;Bless You Hirsch;BLESS YOU. Hirsch Apotheke;Marktstraße 16;73033;Göppingen;;;;
Schöttle - Haiterbach;114790;LS76039;ja;18.03.2026;Logistik;21616;Bless You Rechberghausen;BLESS YOU. Apotheke Rechberghausen;Schloßmarkt 2;73098;Rechberghausen;;;;
Schöttle - Haiterbach;114791;LS76040;ja;01.04.2026;Logistik;21617;Bless You Adler;Adler Apotheke;Schillerplatz 5;73033;Göppingen;;;;
VST Schörling;114792;LS76041;ja;03.03.2026;Logistik;21745;BBC Treuhand;BBC European Tax;Rosental 4;80331;München;;;;
VST Schörling;114793;LS76042;ja;03.03.2026;Logistik;21758;cgf;CGF CounselGroupFrankfurt AG;Frankfurter Ring 17;80807;München;;;;
VST Schörling;114794;LS76043;ja;03.03.2026;Logistik;21758;cgf;CGF CounselGroupFrankfurt AG;Frankfurter Ring 17;80807;München;;;;
VST Schörling;114795;LS76044;ja;03.03.2026;Logistik;21493;Autodesk;Autodesk GmbH;Balanstr. 71 a;81541;München;;;;
AMW Auersperg;114796;LS76045;ja;19.03.2026;Logistik;21940;Dt.Gesellsch.f.Auswärtige Poli;Deutsche Gesellschaft für Auswärtige Politik;Rauchstraße 17-18;10787;Berlin;;;;
VST Schörling;114797;LS76046;ja;03.03.2026;Logistik;21493;Autodesk;Autodesk GmbH;Balanstr. 71 a;81541;München;;;;
Gänshirt-Aufmbruch;114798;LS76047;ja;16.03.2026;Logistik;22104;KITA Spatzennest;KITA Spatzennest;Eibenweg 5d;47906;Kempen;;;;
VST Plep;114799;LS76048;ja;30.03.2026;Logistik;21943;Knotel Frankfurt;ServiceNow GmbH;Börsenstr. 2- 4,  5.OG;60313;Frankfurt;;;;
Aquatec - Grömitz;114800;LS76049;ja;24.02.2026;Logistik;22169;Tourismus-Service Grömitz;Tourismus-Service Grömitz;Neuer Markt 1;23743;Grömitz;;;;
Planegg;114801;LS76050;nein;01.03.2026;Logistik;22413;Ediwen Wendum;Gabriel von Seidl Gymnasium;Hindenburgstr. 26  / EG;83646;Bad Tölz;;;;
Planegg;114802;LS76051;nein;01.03.2026;Logistik;22412;ASM Logistics GmbH;ASMPT Logistics GmbH;Gadastr. 26;85232;Bergkirchen;;;;
Planegg;114803;LS76052;ja;05.03.2026;Logistik;22078;Sprachschule Aktiv;Sprachschule Aktiv;Heßstraße 90;80797;München;;;;
Aquatec - Grömitz;114804;LS76053;ja;24.02.2026;Logistik;22404;Gemeinde Grömitz;Gemeinde Grömitz;Kirchenstr. 11;23743;Grömitz;;;;
Aquatec - Grömitz;114805;LS76054;ja;24.02.2026;Logistik;22404;Gemeinde Grömitz;Gemeinde Grömitz;Hauptstr. 16;23749;Grube;;;;
Nothhelfer/Ulm+50km;114806;LS76055;ja;17.03.2026;Logistik;22414;Vinzenz-von-Paul-Schule;Vinzenz-von-Paul-Schule;Elisabethenweg 1;88477;Schwendi;;;;
Nothhelfer/Ulm+50km;114807;LS76056;ja;03.03.2026;Logistik;22379;Lebenshilfe Donau Iller;Heilpädagogisches Zentrum Allgemein;Holsteinerstraße 1;89250;Senden;;;;
Nothhelfer/Ulm+50km;114808;LS76057;ja;03.03.2026;Logistik;22379;Lebenshilfe Donau Iller;Heilpädagogisches Zentrum Allgemein;Holsteinerstraße 1;89250;Senden;;;;
Nothhelfer/Ulm+50km;114809;LS76058;ja;03.03.2026;Logistik;22379;Lebenshilfe Donau Iller;Kinderhaus;Thomas-Mann-Straße 7;89250;Senden/Wullenstetten;;;;
Nothhelfer/Ulm+50km;114810;LS76059;ja;03.03.2026;Logistik;22379;Lebenshilfe Donau Iller;Frühförderung Neu-Ulm;Germanenstraße 14;89250;Senden;;;;
